municipio,codigo_ibge,idhm_2010,dist_km_geodesica_salvador,dist_km_rodoviaria_salvador,duracao_h_viagem,origem_endereco,origem_coords,destino_municipio_endereco,destino_municipio_coords
Irajuba,2914208,272.0,173.0,307.5,4.39,Rua da Misericórdia,"-12.974331, -38.512191",Travessa Paulino Coelho,"-13.252288, -40.08428"
Iramaia,2914307,296.0,267.2,401.7,6.43,Rua da Misericórdia,"-12.974331, -38.512191",Rua Artur Magalhães,"-13.294091, -40.957687"
Iraquara,2914406,155.0,346.5,471.9,6.16,Rua da Misericórdia,"-12.974331, -38.512191",Rua Tito Luna Freire,"-12.24374, -41.616878"
Irará,2914505,88.0,107.2,136.8,1.94,Rua da Misericórdia,"-12.974331, -38.512191",Irará,"-12.041912, -38.763422"
Irecê,2914604,11.0,408.6,510.5,7.8,Rua da Misericórdia,"-12.974331, -38.512191",Praça Municipal,"-11.546176, -41.977387"
Itabela,2914653,155.0,415.7,698.0,11.67,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Manoel Ribeiro Carneiro,"-16.573028, -39.558432"
Itaberaba,2914703,88.0,200.6,279.6,3.56,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Barão do Rio Branco,"-12.532083, -40.305259"
Itabuna,2914802,5.0,524.3,830.9,13.79,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Marechal Castelo Branco,"-17.538369, -39.738763"
Itacaré,2914901,237.0,154.1,362.8,5.72,Rua da Misericórdia,"-12.974331, -38.512191",Rua Rui Barbosa,"-14.278331, -38.995444"
Itaeté,2915007,290.0,266.0,426.8,6.21,Rua da Misericórdia,"-12.974331, -38.512191",Rua Adelardo Silva,"-12.982524, -40.967411"
Itagi,2915106,389.0,208.7,417.0,6.15,Rua da Misericórdia,"-12.974331, -38.512191",Itagi,"-14.163292, -40.006911"
Itagibá,2915205,206.0,205.2,372.9,5.97,Rua da Misericórdia,"-12.974331, -38.512191",Rua Albino Cajaíba,"-14.288924, -39.845138"
Itagimirim,2915304,58.0,366.0,649.7,10.86,Rua da Misericórdia,"-12.974331, -38.512191",Rua São João,"-16.08728, -39.615576"
