municipio,codigo_ibge,idhm_2010,dist_km_geodesica_salvador,dist_km_rodoviaria_salvador,duracao_h_viagem,origem_endereco,origem_coords,destino_municipio_endereco,destino_municipio_coords
Abaíra,2900108,140.0,342.8,534.4,7.65,Rua da Misericórdia,"-12.974331, -38.512191",Abaíra,"-13.251333, -41.664738"
Abaré,2900207,278.0,477.4,552.0,7.75,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Edesio Tolentino,"-8.721852, -39.114348"
Acajutiba,2900306,241.0,155.5,185.1,2.9,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Saturnino de Menezes,"-11.66086, -38.018958"
Adustina,2900355,377.0,274.4,378.3,5.69,Rua da Misericórdia,"-12.974331, -38.512191",Avenida José Joaquim de Santana,"-10.537244, -38.116823"
Água Fria,2900405,368.0,124.9,156.9,2.3,Rua da Misericórdia,"-12.974331, -38.512191",Estrada para o Açude,"-11.87741, -38.76617"
Aiquara,2900603,237.0,196.4,412.0,6.12,Rua da Misericórdia,"-12.974331, -38.512191",Aiquara,"-14.126905, -39.888606"
Alagoinhas,2900702,15.0,144.3,167.1,2.63,Rua da Misericórdia,"-12.974331, -38.512191",Alagoinhas,"-11.800591, -37.945209"
Alcobaça,2900801,125.0,513.1,841.4,14.0,Rua da Misericórdia,"-12.974331, -38.512191",Praça São Bernardo,"-17.541317, -39.192218"
Almadina,2900900,324.0,227.5,455.5,7.34,Rua da Misericórdia,"-12.974331, -38.512191",Rua Mestre Antônio,"-14.703672, -39.638227"
Amargosa,2901007,74.0,118.4,231.9,3.6,Rua da Misericórdia,"-12.974331, -38.512191",Rua Riachuelo,"-13.030105, -39.603976"
Amélia Rodrigues,2901106,30.0,68.8,88.6,1.22,Rua da Misericórdia,"-12.974331, -38.512191",Rua da França,"-12.402044, -38.75251"
América Dourada,2901155,329.0,360.0,430.9,6.55,Rua da Misericórdia,"-12.974331, -38.512191",Rua Nestor Borges,"-11.451523, -41.435756"
Anagé,2901205,395.0,337.0,541.1,7.98,Rua da Misericórdia,"-12.974331, -38.512191",Rua João Paulo,"-14.613477, -41.137954"
Andaraí,2901304,353.0,306.2,423.4,5.54,Rua da Misericórdia,"-12.974331, -38.512191",Rua Joaquim Espínola,"-12.806797, -41.332577"
Andorinha,2901353,210.0,325.9,426.1,6.02,Rua da Misericórdia,"-12.974331, -38.512191",Rua do Cruzeiro,"-10.344698, -39.833419"
Angical,2901403,74.0,680.3,860.1,11.8,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Horácio de Souza,"-12.005607, -44.699825"
Anguera,2901502,206.0,121.3,156.0,2.22,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Felipe Pedreira Brandão,"-12.151295, -39.245796"
Antas,2901601,187.0,285.6,356.3,5.33,Rua da Misericórdia,"-12.974331, -38.512191",Praça Dois de Julho,"-10.411543, -38.330775"
Antônio Cardoso,2901700,329.0,89.0,149.7,2.07,Rua da Misericórdia,"-12.974331, -38.512191",Antônio Cardoso,"-12.436356, -39.120126"
Antônio Gonçalves,2901809,165.0,328.9,398.2,5.46,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Pinto Guerra,"-10.571491, -40.274875"
Aporá,2901908,374.0,153.5,191.7,3.01,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Inácio,"-11.659858, -38.079429"
Apuarema,2901957,362.0,165.3,332.4,5.28,Rua da Misericórdia,"-12.974331, -38.512191",Apuarema,"-13.85195, -39.745698"
Araçás,2902054,301.0,91.2,106.1,1.68,Rua da Misericórdia,"-12.974331, -38.512191",Rua Praça da Matriz,"-12.212853, -38.200682"
Aracatu,2902005,246.0,357.1,537.0,8.32,Rua da Misericórdia,"-12.974331, -38.512191",Rua Pedro Afonso Cangussu,"-14.429345, -41.459071"
Araci,2902104,402.0,188.5,221.0,3.17,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Pinheiro,"-11.337422, -38.963079"
Aramari,2902203,210.0,98.2,127.6,2.03,Rua da Misericórdia,"-12.974331, -38.512191",Rua da Bela Vista,"-12.090776, -38.49876"
Arataca,2902252,339.0,272.2,491.7,7.82,Rua da Misericórdia,"-12.974331, -38.512191",Arataca,"-15.261565, -39.412535"
Aratuípe,2902302,278.0,54.2,198.4,3.11,Rua da Misericórdia,"-12.974331, -38.512191",Beco da Glória,"-13.077161, -39.000831"
Aurelino Leal,2902401,307.0,173.2,366.7,5.83,Rua da Misericórdia,"-12.974331, -38.512191",Rua Pedro Elias,"-14.316538, -39.325557"
Baianópolis,2902500,206.0,658.0,812.3,11.06,Rua da Misericórdia,"-12.974331, -38.512191",Baianópolis,"-12.306799, -44.538072"
Baixa Grande,2902609,225.0,211.8,262.8,3.9,Rua da Misericórdia,"-12.974331, -38.512191",Rua Joaquim Pamponet Pires,"-11.962749, -40.166055"
Banzaê,2902658,253.0,266.4,336.1,5.06,Rua da Misericórdia,"-12.974331, -38.512191",Banzaê,"-10.580453, -38.613079"
Barra,2902708,347.0,313.2,478.4,7.38,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Doutor João Moisés de Oliveira,"-13.627078, -41.328014"
Barra da Estiva,2902807,278.0,313.2,478.4,7.38,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Doutor João Moisés de Oliveira,"-13.627078, -41.328014"
Barra do Choça,2902906,366.0,306.2,507.2,7.55,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Roduzindo Santos,"-14.863864, -40.576572"
Barra do Mendes,2903003,68.0,406.3,575.1,7.77,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Juracy Magalhães,"-11.805331, -42.057061"
Barra do Rocha,2903102,266.0,180.8,367.1,5.81,Rua da Misericórdia,"-12.974331, -38.512191",Barra do Rocha,"-14.209018, -39.600281"
Barreiras,2903201,3.0,616.5,878.0,12.19,Rua da Misericórdia,"-12.974331, -38.512191",Barreiras,"-13.384802, -44.190709"
Barro Alto,2903235,128.0,392.7,557.0,7.5,Rua da Misericórdia,"-12.974331, -38.512191",Rua Edgar Dourado Lima,"-11.761072, -41.908394"
Barro Preto,2903300,144.0,228.6,434.0,7.07,Rua da Misericórdia,"-12.974331, -38.512191",Rua Francisco Celestino,"-14.8067, -39.472646"
Barrocas,2903276,120.0,171.6,202.2,2.92,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Sinfrônio Queiroz,"-11.533403, -39.080618"
Belmonte,2903409,165.0,323.4,698.8,11.77,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Dom Pedro Segundo,"-15.860667, -38.881552"
Belo Campo,2903508,278.0,463.3,682.5,10.25,Rua da Misericórdia,"-12.974331, -38.512191",Rua 7 de Setembro,"-13.771916, -42.715682"
Biritinga,2903607,399.0,153.6,205.8,2.94,Rua da Misericórdia,"-12.974331, -38.512191",Praça da Matriz,"-11.622893, -38.806592"
Boa Nova,2903706,308.0,239.7,445.9,6.61,Rua da Misericórdia,"-12.974331, -38.512191",Boa Nova,"-14.36544, -40.206506"
Boa Vista do Tupim,2903805,366.0,229.9,328.1,4.38,Rua da Misericórdia,"-12.974331, -38.512191",Rua Marcelino Ribeiro,"-12.660349, -40.608427"
Bom Jesus da Lapa,2903904,61.0,532.4,794.7,11.09,Rua da Misericórdia,"-12.974331, -38.512191",Travessa da Liberdade,"-13.255305, -43.420168"
Bom Jesus da Serra,2903953,377.0,551.6,839.3,11.77,Rua da Misericórdia,"-12.974331, -38.512191",Rua Rio de Janeiro,"-13.543859, -43.574857"
Boninal,2904001,114.0,360.9,505.1,6.86,Rua da Misericórdia,"-12.974331, -38.512191",Rua Duque de Caxia,"-12.709143, -41.83004"
Bonito,2904050,329.0,319.2,449.3,5.91,Rua da Misericórdia,"-12.974331, -38.512191",Travessa Juscelino Kubistchek,"-11.966536, -41.264963"
Boquira,2904100,140.0,457.2,613.4,8.82,Rua da Misericórdia,"-12.974331, -38.512191",Rua Santa Barbara,"-12.818435, -42.727176"
Botuporã,2904209,278.0,436.3,664.3,9.66,Rua da Misericórdia,"-12.974331, -38.512191",Rua Henrique de Oliveira Cruz,"-13.378082, -42.52067"
Brejões,2904308,169.0,139.3,280.6,3.99,Rua da Misericórdia,"-12.974331, -38.512191",Praça do Campo,"-13.10281, -39.790973"
Brejolândia,2904407,187.0,593.5,768.1,10.5,Rua da Misericórdia,"-12.974331, -38.512191",Rua Laudelino Xavier,"-12.484654, -43.961391"
Brotas de Macaúbas,2904506,301.0,459.5,605.1,8.15,Rua da Misericórdia,"-12.974331, -38.512191",Praça Coronel Horácio de Matos,"-12.001895, -42.625856"
Brumado,2904605,39.0,367.6,538.4,7.94,Rua da Misericórdia,"-12.974331, -38.512191",Praça Coronel Zeca Leite,"-14.204177, -41.669761"
Buerarema,2904704,110.0,236.5,444.6,7.09,Rua da Misericórdia,"-12.974331, -38.512191",Praça Domingos Cabral,"-14.958366, -39.301375"
Buritirama,2904753,317.0,611.3,767.4,11.78,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Prefeito Arival Viana,"-10.71413, -43.633682"
Caatiba,2904803,329.0,302.6,548.1,8.31,Rua da Misericórdia,"-12.974331, -38.512191",Rua Régis Pacheco,"-14.978198, -40.409244"
Cabaceiras do Paraguaçu,2904852,246.0,88.1,147.2,2.23,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Navio Negreiro,"-12.537727, -39.189976"
Cachoeira,2904902,43.0,63.9,118.6,1.74,Rua da Misericórdia,"-12.974331, -38.512191",Ladeira D'Ajuda,"-12.603774, -38.963202"
Caculé,2905008,52.0,435.3,624.6,9.54,Rua da Misericórdia,"-12.974331, -38.512191",Rua Rui Barbosa,"-14.50749, -42.220071"
Caém,2905107,377.0,295.6,343.9,4.98,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Deputado Marcelo Guimarães Filho,"-11.09121, -40.431412"
Caetanos,2905156,391.0,300.1,507.6,7.75,Rua da Misericórdia,"-12.974331, -38.512191",Avenida da Conquista,"-14.338661, -40.908312"
Caetité,2905206,74.0,444.6,637.3,9.56,Rua da Misericórdia,"-12.974331, -38.512191",Caetité,"-14.053897, -42.471781"
Cafarnaum,2905305,230.0,351.2,449.9,6.85,Rua da Misericórdia,"-12.974331, -38.512191",Rua Djalma Rios,"-11.694586, -41.468306"
Cairu,2905404,70.0,81.0,287.9,4.56,Rua da Misericórdia,"-12.974331, -38.512191",Rua Visconde de Cairu,"-13.486773, -39.043667"
Caldeirão Grande,2905503,289.0,291.8,338.5,4.83,Rua da Misericórdia,"-12.974331, -38.512191",Praça da Saudade,"-11.02065, -40.30426"
Camacan,2905602,246.0,292.0,509.3,8.1,Rua da Misericórdia,"-12.974331, -38.512191",Rua da Prefeitura,"-15.421825, -39.494498"
Camaçari,2905701,10.0,36.4,50.6,0.82,Rua da Misericórdia,"-12.974331, -38.512191",Camaçari,"-12.705681, -38.320085"
Camamu,2905800,317.0,125.5,308.3,4.85,Rua da Misericórdia,"-12.974331, -38.512191",Rua Duque de Caxias,"-13.943475, -39.105859"
Campo Alegre de Lourdes,2905909,347.0,623.2,827.8,12.44,Rua da Misericórdia,"-12.974331, -38.512191",Rua Rui Penalva,"-9.515901, -43.009944"
Campo Formoso,2906006,220.0,337.3,405.8,5.57,Rua da Misericórdia,"-12.974331, -38.512191",Rua Afranio Peixoto,"-10.510437, -40.320218"
Canápolis,2906105,317.0,616.4,853.1,11.85,Rua da Misericórdia,"-12.974331, -38.512191",Canápolis,"-13.072469, -44.200896"
Canarana,2906204,215.0,381.5,538.6,7.2,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Rio Branco,"-11.68688, -41.768407"
Canavieiras,2906303,199.0,304.6,538.5,8.52,Rua da Misericórdia,"-12.974331, -38.512191",Praça Quinze de Novembro,"-15.680738, -38.944561"
Candeal,2906402,215.0,145.8,177.1,2.6,Rua da Misericórdia,"-12.974331, -38.512191",Rua Antônio Martins Filho,"-11.804981, -39.12054"
Candeias,2906501,11.0,34.0,50.3,0.77,Rua da Misericórdia,"-12.974331, -38.512191",Rua São João,"-12.669308, -38.540586"
Candiba,2906600,195.0,497.3,701.7,10.66,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Neves,"-14.412311, -42.871244"
Cândido Sales,2906709,147.0,406.8,603.5,9.13,Rua da Misericórdia,"-12.974331, -38.512191",Rua Deputado Aves Macedo,"-15.505414, -41.237721"
Cansanção,2906808,347.0,278.4,331.0,5.04,Rua da Misericórdia,"-12.974331, -38.512191",Travessa Santo Antônio,"-10.666736, -39.504724"
Canudos,2906824,326.0,346.7,405.6,5.85,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Brasília,"-9.897278, -39.026429"
Capela do Alto Alegre,2906857,155.0,204.2,254.3,3.83,Rua da Misericórdia,"-12.974331, -38.512191",Rua Adelmiro Pereira Sampaio,"-11.670363, -39.836246"
Capim Grosso,2906873,84.0,240.5,277.9,3.96,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Luis Eduardo Magalhães,"-11.378957, -40.006711"
Caraíbas,2906899,353.0,354.5,565.2,8.4,Rua da Misericórdia,"-12.974331, -38.512191",Rua Manoel Lima,"-14.725172, -41.25653"
Caravelas,2906907,96.0,535.4,864.9,14.36,Rua da Misericórdia,"-12.974331, -38.512191",Rua Barão do Rio Branco,"-17.733988, -39.265697"
Cardeal da Silva,2907004,362.0,130.0,160.0,2.56,Rua da Misericórdia,"-12.974331, -38.512191",Rua Antonio de Carvalho,"-11.942829, -37.949453"
